ID;text
1;"
1. Den signede dag med fryd vi ser af havet til os opkomme; den lyse på himlen mer og mer, os alle til lyst og fromme! Det kendes på os som lysets børn, at natten hun er nu omme!
2. Den signede stund, den midnatstid, vor Herre han lod sig føde, da klared det op i østerlid til dejligste morgenrøde, da lyset oprandt, som jordens bold skal lysne udi og gløde.
3. Om levende blev hvert træ i skov, og var så hvert blad en tunge, de kunne dog ej Guds nådes lov med værdelig røst udsjunge; thi evig nu skinner livets lys for gamle og så for unge.
4. Thi takke vi Gud, vor Fader god, som lærken i morgenrøde, for dagen, han os oprinde lod, for livet, han gav af døde; den signede dag i Jesu navn os alle vort liv forsøde!
5. Nu sagtelig skrid, vor højtidsdag, med stråler i krans om tinde! Hver time til Herrens velbehag som bække i eng henrinde, til frydelig sig til sidst de sno op under de grønne linde!
6. Som guld er den årle morgenstund, når dagen opstår af døde, dog kysser os og med guld i mund den liflige aftenrøde, så tindre end må det matte blik, de blegnede kinder gløde.
7. Så rejse vi til vort fædreland, dér ligger ej dag i dvale, dér stander en borg så prud og grand med gammen i gyldne sale; så frydelig dér til evig tid med venner i lys vi tale.
"
2;"
1. Den mørke nat forgangen er,og dagen oprinder så vide,nu skinner sol over mark og kær,de fugle de sjunge så blide.Gud give os lykke og gode råd,sin nådes lys os tilsende!
2. Gud være lovet i evighed,han denne nat tog os vare!Han lyse på os sin hellige fredog fri os af alskens fare!
Gud give os lykke og gode råd,sin nådes lys os tilsende!
3. Om påskemorgen, den signede dag,vor Herre stod op af døde,det var os alle et godt behag,han frelste os dermed af møde!
Gud give os lykke og gode råd,sin nådes lys os tilsende!
4. Ræk os, o Jesus, din frelserhåndi dag og i alle stunde,udløs os alle af mørkets bånd,at ret vi dig tjene kunne!
Gud give os lykke og gode råd,sin nådes lys os tilsende!
5. Da, hver gang dagen forgangen er,og natten til os fremskrider,vi dig vil prise, o Herre kær,af hjertet til alle tider!
Gud give os lykke og gode råd,sin nådes lys os tilsende!
"
3;"
1. Nu rinder solen opaf østerlide,forgylder klippens topog bjergets side;vær glad, min sjæl, og lad din stemme klinge,stig op fra jordens bo,og med din tak og trotil Himlen svinge!
2. Utallig såsom sandog uden måde,som havets dybe vander Herrens nåde,som han mit hoved daglig overgyder:hver morgen i min skålen nåde uden måltil mig nedflyder.
3. Han har i denne natmed engleskaremit hus og hjem omsat,at ingen farehar mig og mine ramt i nogen måde,men jeg er frelst og frifra dødens mørke stiog sjælevåde.
4. Min sjæl, vær frisk og glad,lad sorgen fare!Dit legems blomsterbladvil Gud bevare:Han vil i dag mig give kraft og styrke,jeg i mit kald og standmin Gud og Fader kantilbørlig dyrke.
5. Gud lægge hånd i håndmed mig og givesin gode Helligåndmit kald at drive!Velsign mig, Herre Gud, ud af det høje!Gid jeg hver dag og tidi Gud og i min flidmig lader nøje!
6. Lad synden mig i dagej rent forblinde,at jeg min Guds behagkan ret besinde!Men om min fod går vild og sig mon støde,da vend, o Gud, mig om,og gå ej straks til domfor svagheds brøde!
7. Du bedst min tarv og trang,o Herre, kender,tilmed er lykkens gangi dine hænder,og hvad mig tjener bedst i hver en måde,du det tilforne ser.Min sjæl, hvad vil du mer?Lad Gud kun råde!
"
4;"
1. Vågn op og slå på dine strenge,syng mig en dejlig morgensang!O kære sjæl, stat op af senge,gør med din tak en Himmel-gang!Gør vold oppå den stjerneborg,og glem så længe verdens sorg!
2. Velan! jeg vil til Himlen stige,langt fra min jordeklimp og krop,mit borgerskab er i Guds rige,dér stunder jeg og daglig op!Lov, pris og tak i tusindtalske Gud i højen himmelsal!
3. Jeg har ej andet dig at giveend kun min blotte hjerte-tak,al anden gerning her i live,den er at yde alt for lak;men mine suk du ej forsmårog gråden, som i øjne står.
4. Velan, jeg til mit kald mig giverog fanger nu min gerning an;min Gud mig end så nådig bliver,som han i al min tid er van,han tager hånden med mig iog med sin Ånd står trolig bi.
5. Jeg vil dog ej på verden bygge,om lykken end vil med mig stå,men alt som dagen sig mon rykke,vil jeg min sjæl alt minde på,at glasset rinder, tiden går,og evigheden forestår.
"
5;"
1. Morgenhanen atter golslog med dugget vinge,lykke os den gyldne solvil med lyset bringe,når vi takke ham i lønover alle sole,som gør morgenrøden skøn,signer livets skole!
2. Dagen har han skabt til dåd,skumringen til hvile,ingen målte livets tråd,derfor lad os ile:gøre gavn, mens dagen går,prøve vore kræfter,visse på, at gode kårrette sig derefter!
3. Ord i mund og skrift i bogskal vor ungdom lære:ret at bruge kraft og sprog,livet til Guds ære;da vor manddom, klog og stærk,svare skal til navnet,krone skolens ungdomsværk,vise, det har gavnet!
"
6;"
1. Morgenstund har guld i mund; for natten Gud vi love; han lærte os, i Jesu navn, som barnet i sin moders favn vi alle sødt kan sove.
2. Morgenstund har guld i mund; vi til vort arbejd ile, som fuglen glad i skov og vang udflyver med sin morgensang, genfødt ved nattehvile.
3. Morgenstund har guld i mund, og guld betyder glæde, og glædelig er hver en dag, som leves til Guds velbehag, om end vi måtte græde.
4. Gå da frit enhver til sit og stole på Guds nåde! Da får vi lyst og lykke til at gøre gavn, som Gud det vil, på allerbedste måde.
5. Sol opstår, og sol nedgår, når den har gjort sin gerning; Gud give os at skinne så, som himmellys, skønt af de små! Da randt for os guldterning.
"
8;"
1. Lysets engel går med glans gennem himmelporte. For Guds engels strålekrans flygter alle nattens skygger sorte.
2. Sol går over verden ud med Guds lys i øje: Se! Vor Herres sendebud går på gyldne skyer i det høje.
3. Englen spreder over jord glansen fra Guds Himmel; i sin kåbes stråleflor favner han alverdens glade vrimmel.
4. Sol ser ind i slot og vrå, ser på drot og tigger, ser til store, ser til små, kysser barnet, som i vuggen ligger.
5. Os han også favne vil, englen i det høje; os han også smiler til, englen med Guds Himmel-glans i øje.
6. Os har og vor Herre kær: ingen sjæl han glemmer; i hvert solglimt Gud er nær og vor glade morgensang fornemmer.
"
10;"
1. I østen stiger solen op:Den spreder guld på sky,går over hav og bjergetop,går over land og by.
2. Den kommer fra den fagre kyst,hvor Paradiset lå;den bringer lys og liv og lysttil store og til små.
3. Den hilser os endnu så smuktfra Edens morgenrød,hvor træet stod med evig frugt,hvor livets væld udflød.
4. Den hilser os fra lysets hjem,hvor størst Guds lys oprandtmed stjernen over Betlehem,som østens vise fandt.
5. Og med Guds sol udgår fra østen himmelsk glans på jord,et glimt fra Paradisets kyst,hvor livets abild gror.
6. Og alle stjerner neje sig,hvor østens sol går frem:den synes dem hin stjerne lig,der stod ved Betlehem.
7. Du soles sol fra Betlehem!Hav tak og lov og prisfor hvert et glimt fra lysets hjemog fra dit Paradis!
"
15;"
1. Nu drejer vort land sig mod solenvort landskab får farver og gløddet dybeste grønt, det himmelske blåkaldt frem gennem mørke og død.
2. Nu vågner hver skabning på markennu letter hver gråspurv og stærnu åbner hver blomst for farvernes spilnu grønnes de grålige træer.
3. Nu rammer en dagning din pudeog vækker dig menneskebarnlys kalder dig frem og løser dig friaf drømmenes filtrede garn.
4. Nu drejer vort land sig mod solenså se dog mit barn, hvad du serat lyset går frem og åbner sin dagog dagen blir din mens det sker.
"
21;"
1. Vi ser det i de klare nætters himmel,vor sol, en stjerne i galaksens vrimmel,og lyset strømmer gennem vor pupil,for uden sol var øjet aldrig til,og øjenlågets skygge er til søvn.
2. Nu tændes purpur i de mørke skyer,nu svinder lyset i de store byer,mens jorden langsomt drejer frem mod øst.Belyst bli’r fjerne bølger, kyst bag kyst,af solens ubevægelige ild.
3. Nu vækkes fugleskarer jorden over,i skov og by, på klipper hvor de sover,og morgenstjernen stråler og går ud. Nu svirper luft og vand mod søvnig hud,vi vågned før og vågner én gang til.
4. Med stilhed og med sang begynder dagenfør telefoners kalden, bilers jagen.Om morgen-, middags- eller aftenglød,vor sol var førend måne, liv og død.Sol, stilhed, sang var først, slår an, fornyer.
5. Bag dagen som den er, der svæver, skinneren større dag, som aldrig helt forsvinder.Bag smerten står en dør til den på klem,i glæden er den ung af glød vort hjem.God morgen til vort øjeblik, vort liv.
"
